VehicleId,Type,RegistrationNumber,Manufacturer,Model,Year,Capacity,FarePerKm,Route,Status
VH1,Bus,ABC-123,Mercedes,Citaro,2020,50,2.50,"City Center - Airport",Available
VH2,Car,DEF-456,Toyota,Camry,2019,4,5.00,"Downtown - Business District",Available
VH3,Bus,GHI-789,Volvo,7900,2021,60,2.25,"University - Shopping Mall",In-Service
VH4,Truck,JKL-012,Ford,Transit,2018,2,8.00,"Industrial Zone - Port",Available
VH5,Car,MNO-345,Honda,Civic,2022,4,4.50,"Residential - City Center",Maintenance
VH6,Bus,PQR-678,Scania,Citywide,2020,45,2.75,"Train Station - Beach Resort",Available
VH7,Motorcycle,STU-901,Yamaha,MT-07,2021,2,3.00,"Quick Delivery Service",Available
VH8,Car,VWX-234,BMW,320i,2023,4,6.00,"Executive Transport",In-Service
VH9,Bus,YZA-567,Mercedes,Sprinter,2019,25,3.00,"Hospital - Medical Center",Available
VH10,Truck,BCD-890,Volvo,FH16,2017,2,10.00,"Construction Site Transport",Maintenance
VH11,Car,EFG-123,Audi,A4,2022,4,5.50,"Premium City Service",Available
VH12,Bus,HIJ-456,Isuzu,Citiport,2020,35,2.80,"Suburban Route",Available
VH13,Motorcycle,KLM-789,Honda,CBR600,2023,2,2.75,"Express Courier",In-Service
VH14,Car,NOP-012,Hyundai,Elantra,2021,4,4.25,"Standard City Service",Available
VH15,Bus,QRS-345,MAN,Lion's City,2018,55,2.60,"Metro Line Extension",Retired
VH16,Truck,TUV-678,DAF,XF,2022,2,9.50,"Heavy Cargo Transport",Available
VH17,Car,WXY-901,Nissan,Altima,2020,4,4.75,"Airport Shuttle",Available
VH18,Bus,ZAB-234,Solaris,Urbino,2021,40,2.90,"University Campus",Available
VH19,Motorcycle,CDE-567,Kawasaki,Ninja,2022,2,3.25,"Food Delivery",Available
VH20,Car,FGH-890,Volkswagen,Passat,2019,4,5.25,"Corporate Transport",Maintenance
